Date,Product_ID,Units_Sold,Average_Market_Price,Daily_Sentiment_Score
2023-12-01,DEMO_ITEM_01,85,49.99,4.5
2023-12-02,DEMO_ITEM_01,88,49.50,4.6
2023-12-03,DEMO_ITEM_01,92,49.00,4.8
2023-12-04,DEMO_ITEM_01,89,49.00,4.7
2023-12-05,DEMO_ITEM_01,95,48.50,4.9
2023-12-06,DEMO_ITEM_01,90,49.00,4.6
2023-12-07,DEMO_ITEM_01,82,50.00,4.2
2023-12-08,DEMO_ITEM_01,75,51.50,3.9
2023-12-09,DEMO_ITEM_01,72,52.00,3.8
2023-12-10,DEMO_ITEM_01,78,50.50,4.1
2023-12-11,DEMO_ITEM_01,84,49.99,4.4
2023-12-12,DEMO_ITEM_01,91,49.50,4.7
2023-12-13,DEMO_ITEM_01,96,48.50,4.9
2023-12-14,DEMO_ITEM_01,102,47.99,5.0
2023-12-15,DEMO_ITEM_01,105,47.99,4.9
2023-12-16,DEMO_ITEM_01,108,47.50,4.8
2023-12-17,DEMO_ITEM_01,112,47.00,4.9
2023-12-18,DEMO_ITEM_01,98,49.99,4.5
2023-12-19,DEMO_ITEM_01,80,52.00,3.9
2023-12-20,DEMO_ITEM_01,75,53.00,3.7
2023-12-21,DEMO_ITEM_01,79,51.50,4.0
2023-12-22,DEMO_ITEM_01,85,49.99,4.3
2023-12-23,DEMO_ITEM_01,95,48.50,4.7
2023-12-24,DEMO_ITEM_01,115,46.00,4.9
2023-12-25,DEMO_ITEM_01,125,45.00,5.0
2023-12-26,DEMO_ITEM_01,130,45.00,5.0
2023-12-27,DEMO_ITEM_01,110,48.00,4.6
2023-12-28,DEMO_ITEM_01,98,49.50,4.3
2023-12-29,DEMO_ITEM_01,85,51.00,3.9
2023-12-30,DEMO_ITEM_01,82,51.50,4.0
2023-12-31,DEMO_ITEM_01,88,49.99,4.4
2024-01-01,DEMO_ITEM_01,70,52.00,3.8
2024-01-02,DEMO_ITEM_01,65,54.00,3.5
2024-01-03,DEMO_ITEM_01,68,53.50,3.6
2024-01-04,DEMO_ITEM_01,72,52.00,3.9
2024-01-05,DEMO_ITEM_01,75,51.00,4.1
2024-01-06,DEMO_ITEM_01,79,49.99,4.3
2024-01-07,DEMO_ITEM_01,85,49.00,4.5
2024-01-08,DEMO_ITEM_01,90,48.50,4.7
2024-01-09,DEMO_ITEM_01,92,48.00,4.8
2024-01-10,DEMO_ITEM_01,88,49.00,4.5
2024-01-11,DEMO_ITEM_01,80,50.50,4.1
2024-01-12,DEMO_ITEM_01,75,51.50,3.9
2024-01-13,DEMO_ITEM_01,72,52.00,3.8
2024-01-14,DEMO_ITEM_01,78,50.50,4.1
2024-01-15,DEMO_ITEM_01,82,49.99,4.3
2024-01-16,DEMO_ITEM_01,86,49.50,4.5
2024-01-17,DEMO_ITEM_01,92,48.00,4.7
2024-01-18,DEMO_ITEM_01,96,47.50,4.8
2024-01-19,DEMO_ITEM_01,100,46.00,4.9
2024-01-20,DEMO_ITEM_01,85,50.00,4.0
